user_id,clip_duration,media_platform,age_new,day,tt,ad_complete,ad_brand_cat,genre_new,gender_new,l_ad_stop,u_ad_stop
1,176,MOBILE WEB,40,Fri,15,0,drink,sports,Male,3.75,7.5
2,145,MOBILE WEB,40,Tue,16,1,drink,sports,Male,11.25,15
3,148,MOBILE APP,20,Sun,1,0,food,entertainment,Female,3.75,7.5
4,188,MOBILE WEB,20,Sun,23,1,drink,entertainment,Female,11.25,15
5,95,MOBILE WEB,30,Fri,23,0,food,drama,Female,3.75,7.5
6,117,MOBILE WEB,30,Sat,18,0,pet,sports,Female,3.75,7.5
7,285,MOBILE WEB,30,Fri,23,0,education,entertainment,Female,0,3.75
8,352,MOBILE WEB,30,Sat,10,0,movie,entertainment,Female,3.75,7.5
9,86,MOBILE WEB,40,Sat,8,0,education,drama,Female,3.75,7.5
10,146,MOBILE WEB,30,Sun,20,0,movie,entertainment,Female,7.5,11.25
11,237,MOBILE WEB,30,Sat,17,1,drink,sports,Male,11.25,15
12,116,MOBILE WEB,40,Mon,21,0,drink,sports,Male,3.75,7.5
13,205,PC WEB,50,Sat,16,1,drink,sports,Male,11.25,15
14,311,PC WEB,30,Sun,10,0,food,music,Female,7.5,11.25
15,127,MOBILE WEB,10,Tue,23,0,woman,drama,Female,3.75,7.5
16,158,MOBILE WEB,20,Wed,20,0,corporation,entertainment,Female,7.5,11.25
17,143,MOBILE WEB,30,Sat,3,0,drink,current_affairs,Female,7.5,11.25
18,204,MOBILE APP,20,Thu,12,0,pet,entertainment,Female,3.75,7.5
19,140,MOBILE WEB,40,Mon,17,0,food,entertainment,Female,7.5,11.25
20,160,MOBILE WEB,40,Sat,7,0,food,entertainment,Female,3.75,7.5
21,96,MOBILE WEB,40,Wed,21,1,drink,sports,Male,11.25,15
22,174,MOBILE WEB,30,Sat,15,0,health_food,entertainment,Female,3.75,7.5
23,182,MOBILE WEB,40,Fri,20,0,government,entertainment,Female,0,3.75
24,371,MOBILE WEB,30,Tue,13,0,drink,sports,Female,11.25,15
25,173,MOBILE WEB,20,Thu,0,0,health_food,entertainment,Female,0,3.75
26,110,MOBILE WEB,50,Wed,16,0,health_food,entertainment,Female,3.75,7.5
27,70,MOBILE WEB,30,Sun,14,0,corporation,sports,Male,3.75,7.5
28,627,MOBILE WEB,30,Sun,8,1,drink,sports,Male,11.25,15
29,129,MOBILE WEB,40,Fri,0,0,medicine,drama,Female,0,3.75
30,67,MOBILE WEB,30,Sun,15,0,drink,sports,Male,3.75,7.5
31,61,MOBILE WEB,30,Sun,15,1,drink,sports,Male,11.25,15
32,224,MOBILE WEB,40,Mon,19,0,food,drama,Male,3.75,7.5
33,143,MOBILE WEB,40,Mon,7,0,government,entertainment,Male,3.75,7.5
34,111,MOBILE WEB,30,Thu,0,1,corporation,entertainment,Female,11.25,15
35,65,MOBILE WEB,60,Sat,22,0,corporation,sports,Male,11.25,15
36,235,PC WEB,10,Sun,21,1,medicine,entertainment,Female,11.25,15
37,85,MOBILE WEB,10,Sat,4,0,movie,drama,Female,3.75,7.5
38,100,MOBILE WEB,40,Thu,22,0,corporation,entertainment,Female,7.5,11.25
39,251,MOBILE APP,20,Sat,23,1,drink,music,Male,11.25,15
40,164,MOBILE WEB,40,Sat,14,1,food,information,Female,11.25,15
41,64,MOBILE WEB,40,Sun,15,0,corporation,sports,Male,0,3.75
42,101,MOBILE WEB,40,Thu,23,1,government,drama,Female,11.25,15
43,306,MOBILE WEB,40,Fri,23,0,food,entertainment,Female,3.75,7.5
44,65,PC WEB,30,Tue,11,0,drink,sports,Female,3.75,7.5
45,101,MOBILE WEB,40,Sat,14,0,corporation,sports,Male,3.75,7.5
46,67,PC WEB,40,Tue,12,1,drink,sports,Female,11.25,15
47,112,MOBILE WEB,30,Sat,15,0,corporation,sports,Male,7.5,11.25
48,121,MOBILE WEB,40,Tue,9,0,government,entertainment,Male,3.75,7.5
49,244,PC WEB,20,Sun,20,0,movie,entertainment,Male,3.75,7.5
50,167,MOBILE WEB,50,Tue,12,0,drink,drama,Female,11.25,15
51,219,MOBILE WEB,10,Tue,13,0,food,entertainment,Female,7.5,11.25
52,201,MOBILE WEB,40,Sat,21,0,pet,music,Female,7.5,11.25
53,112,MOBILE WEB,50,Sat,14,1,drink,sports,Male,11.25,15
54,64,MOBILE WEB,40,Fri,8,0,drink,sports,Male,3.75,7.5
55,72,MOBILE WEB,40,Wed,13,1,drink,sports,Male,11.25,15
56,74,MOBILE WEB,30,Fri,15,0,corporation,sports,Male,3.75,7.5
57,328,MOBILE WEB,30,Fri,3,0,drink,entertainment,Female,3.75,7.5
58,116,MOBILE WEB,30,Tue,8,0,drink,sports,Male,0,3.75
59,269,PC WEB,20,Wed,20,1,food,entertainment,Male,11.25,15
60,100,MOBILE WEB,40,Sun,13,0,food,entertainment,Female,3.75,7.5
61,86,MOBILE WEB,20,Fri,17,0,drink,sports,Male,3.75,7.5
62,216,MOBILE WEB,30,Fri,13,0,drink,sports,Male,3.75,7.5
63,627,MOBILE WEB,60,Sat,16,1,drink,sports,Male,11.25,15
64,87,MOBILE WEB,10,Mon,18,0,drink,drama,Female,3.75,7.5
65,83,MOBILE WEB,30,Thu,15,0,drink,sports,Male,3.75,7.5
66,175,MOBILE WEB,60,Tue,23,0,electronics,drama,Male,7.5,11.25
67,188,MOBILE WEB,40,Fri,18,0,health_food,drama,Female,7.5,11.25
68,127,PC WEB,20,Thu,11,0,drink,entertainment,Female,0,3.75
69,695,MOBILE WEB,50,Sat,15,0,corporation,sports,Male,7.5,11.25
70,66,PC WEB,40,Sat,16,1,drink,sports,Male,11.25,15
71,135,MOBILE WEB,30,Sat,11,0,health_food,kids,Male,3.75,7.5
72,227,MOBILE WEB,20,Tue,15,0,food,entertainment,Male,3.75,7.5
73,65,MOBILE WEB,20,Fri,7,0,medicine,drama,Female,3.75,7.5
74,65,MOBILE WEB,30,Tue,12,0,drink,sports,Male,3.75,7.5
